time 	bus:  1	bus:  2	bus:  3	bus:  4	bus:  5	bus:  6	bus:  7	bus:  8	bus:  9	bus: 10	bus: 11	bus: 12	bus: 13	bus: 14
  35 	 0.000 	 14.309 	 2.179 	 1.106 	 0.176 	 0.259 	 0.000 	 0.000 	 0.682 	 0.208 	 0.081 	 0.141 	 0.312 	 0.345 
  36 	 0.000 	 19.487 	 2.115 	 1.073 	 2.532 	 0.251 	 0.000 	 0.000 	 0.662 	 0.202 	 0.079 	 0.137 	 0.303 	 0.335 
  37 	 0.000 	 18.529 	 2.143 	 1.088 	 0.173 	 0.255 	 0.000 	 0.000 	 0.671 	 0.205 	 0.080 	 0.139 	 0.307 	 0.339 
  38 	 0.000 	 9.634 	 2.218 	 1.126 	 0.179 	 0.264 	 0.000 	 0.000 	 0.695 	 0.212 	 0.082 	 0.144 	 0.318 	 0.351 
  39 	 0.000 	 7.400 	 2.237 	 1.135 	 0.180 	 0.266 	 0.000 	 0.000 	 0.700 	 0.214 	 0.083 	 0.145 	 0.321 	 0.354 
  40 	 0.000 	 8.151 	 2.231 	 1.132 	 0.180 	 0.265 	 0.000 	 0.000 	 0.699 	 0.213 	 0.083 	 0.144 	 0.320 	 0.353 
  41 	 0.000 	 9.055 	 2.223 	 1.128 	 0.179 	 0.264 	 0.000 	 0.000 	 0.696 	 0.212 	 0.083 	 0.144 	 0.319 	 0.352 
  42 	 0.000 	 10.896 	 2.208 	 1.120 	 0.178 	 0.262 	 0.000 	 0.000 	 0.691 	 0.211 	 0.082 	 0.143 	 0.316 	 0.349 
  43 	 0.000 	 12.111 	 2.197 	 1.115 	 0.177 	 0.261 	 0.000 	 0.000 	 0.688 	 0.210 	 0.082 	 0.142 	 0.315 	 0.348 
  44 	 0.000 	 14.318 	 2.179 	 1.106 	 0.176 	 0.259 	 0.000 	 0.000 	 0.682 	 0.208 	 0.081 	 0.141 	 0.312 	 0.345 
  45 	 0.000 	 17.511 	 2.152 	 1.092 	 0.174 	 0.256 	 0.000 	 0.000 	 0.674 	 0.206 	 0.080 	 0.139 	 0.308 	 0.340 
  46 	 0.000 	 19.234 	 2.087 	 1.059 	 5.941 	 0.248 	 0.000 	 0.000 	 0.654 	 0.199 	 0.078 	 0.135 	 0.299 	 0.330 
  47 	 0.000 	 18.700 	 2.029 	 1.030 	 6.549 	 6.786 	 0.000 	 0.000 	 0.636 	 0.194 	 0.075 	 0.131 	 0.291 	 0.321 
  48 	 0.000 	 18.328 	 1.989 	 1.009 	 6.419 	 9.460 	 0.000 	 0.000 	 3.013 	 0.190 	 0.074 	 0.129 	 0.285 	 0.315 
