bus t PEMmin PEMmax
 4 17   0.2771   0.1519
 4 18   0.2675   0.1360
 4 19   0.2215   0.2092
 4 20   0.0000   0.0000
 4 21   0.0000   0.1560
 4 22   0.0000   0.1557
 4 23  -0.6727  -0.6727
 4 24  -0.7420  -0.7420
 4 25   0.0000   0.0000
 4 26   0.0150   0.0000
 4 27   0.0518   0.0123
 4 28   0.1551   0.0269
 4 29   0.0238   0.0154
 4 30   0.0452   0.0076
 4 31   0.1807   0.0574
 4 32   0.2988   0.0333
 4 33   0.1226   0.2177
 4 34   0.1011   0.2278
 4 35   0.5454   0.1944
 4 36   0.1392   0.1491
 4 37   0.1541   0.1721
 4 38   0.4573   0.2334
 4 39   0.2526   0.2235
 4 40   0.1086   0.1446
 4 41   0.1952   0.0537
 4 42   0.4748   0.0240
 4 43   0.2021   0.3205
 4 44   0.2347   0.3190
 4 45   0.0377   0.0234
 4 46   0.2060   0.0067
 4 47   0.1437   0.0081
 4 48   0.0669   0.0901
 5  1   0.0000   0.0901
 5  2   0.0031   0.0236
 5  3   0.0154   0.0000
 5  4   0.0136   0.0000
 5  5   0.0000   0.0070
 5  6   0.0000   0.0019
 5  7   0.0140   0.0156
 5  8   0.0169   0.0000
 5  9   0.0139   0.0000
 5 10   0.0072   0.0082
 5 11   0.0400   0.0709
 5 12   0.0609   0.0581
 5 13   0.0487   0.0655
 5 14   0.0955   0.0454
 5 15   0.2223   0.0855
 5 16   0.1648   0.0706
 5 17   0.1641   0.1023
 5 18   0.0418   0.0317
 5 19   0.1915   0.1409
 5 20   0.0338   0.0166
 5 21   0.1100   0.0977
 5 22   0.2750   0.2450
 5 23  -0.6727  -0.6727
 5 24  -0.7420  -0.7420
 5 25   0.0000   0.0000
 5 26   0.0034   0.0000
 5 27   0.0061   0.0000
 5 28   0.0257   0.0084
 5 29   0.0335   0.1116
 5 30   0.0298   0.0595
 5 31   0.0621   0.1682
 5 32   0.0042   0.0797
 5 33   0.1747   0.0173
 5 34   0.2254   0.2835
 5 35   0.2313   0.0393
 5 36   0.2326   0.2607
 5 37   0.0777   0.0510
 5 38   0.0258   0.2627
 5 39   0.1519   0.1086
 5 40   0.1721   0.0192
 5 41   0.2170   0.0179
 5 42   0.0186   0.1115
 5 43   0.2130   0.0963
 5 44   0.4016   0.0947
 5 45   0.0198   0.1164
 5 46   0.2048   0.1993
 5 47   0.0629   0.0036
 5 48   0.0567   0.0000
 6  1   0.0457   0.0186
 6  2   0.0000   0.0000
 6  3   0.0000   0.0000
 6  4   0.0174   0.0052
 6  5   0.0091   0.0050
 6  6   0.0103   0.0000
 6  7   0.0000   0.0193
 6  8   0.0602   0.0183
 6  9   0.0451   0.0348
 6 10   0.0754   0.0885
 6 11   0.0455   0.1000
 6 12   0.0381   0.2149
 6 13   0.1414   0.7251
 6 14   0.4540   0.3768
 6 15   0.3890   0.3284
 6 16   0.1082   0.5063
 6 17   0.2445   0.5376
 6 18   0.2466   0.5292
 6 19   0.2413   0.3714
 6 20   0.0000   0.0567
 6 21   0.0000   0.1495
 6 22   0.0000   0.3354
 6 23  -0.6727  -0.6727
 6 24  -0.7420  -0.7420
 6 25   0.0000   0.0000
 6 26   0.0000   0.0402
 6 27   0.0180   0.0000
 6 28   0.2298   0.0321
 6 29   0.0440   0.0523
 6 30   0.0292   0.0784
 6 31   0.1751   0.2122
 6 32   0.3667   0.2119
 6 33   0.4207   0.0783
 6 34   0.2757   0.3328
 6 35   0.2320   0.1059
 6 36   0.2338   0.0826
 6 37   0.2188   0.5433
 6 38   0.3289   0.1913
 6 39   0.1354   0.0774
 6 40   0.2837   0.5451
 6 41   0.1413   0.0978
 6 42   0.1486   0.1611
 6 43   0.3628   0.0246
 6 44   0.1580   0.3795
 6 45   0.1769   0.2822
 6 46   0.1151   0.0298
 6 47   0.1431   0.1216
 6 48   0.0091   0.0263
 7  1   0.0000   0.0000
 7  2   0.0000   0.0000
 7  3   0.0000   0.0000
 7  4   0.0000   0.0000
 7  5   0.0000   0.0000
 7  6   0.0000   0.0000
 7  7   0.0000   0.0000
 7  8   0.0000   0.0000
 7  9   0.0000   0.0000
 7 10   0.0000   0.0000
 7 11   0.0000   0.0000
 7 12   0.0000   0.0000
 7 13   0.0000   0.0000
 7 14   0.0000   0.0000
 7 15   0.0000   0.0000
 7 16   0.0000   0.0000
 7 17   0.0000   0.0000
 7 18   0.0000   0.0000
 7 19   0.0000   0.0000
 7 20   0.0000   0.0000
 7 21   0.0000   0.0000
 7 22   0.0000   0.0000
 7 23   0.0000   0.0000
 7 24   0.0000   0.0000
 7 25   0.0000   0.0000
 7 26   0.0000   0.0000
 7 27   0.0000   0.0000
 7 28   0.0000   0.0000
 7 29   0.0000   0.0000
 7 30   0.0000   0.0000
 7 31   0.0000   0.0000
 7 32   0.0000   0.0000
 7 33   0.0000   0.0000
 7 34   0.0000   0.0000
 7 35   0.0000   0.0000
 7 36   0.0000   0.0000
 7 37   0.0000   0.0000
 7 38   0.0000   0.0000
 7 39   0.0000   0.0000
 7 40   0.0000   0.0000
 7 41   0.0000   0.0000
 7 42   0.0000   0.0000
 7 43   0.0000   0.0000
 7 44   0.0000   0.0000
 7 45   0.0000   0.0000
 7 46   0.0000   0.0000
 7 47   0.0000   0.0000
 7 48   0.0000   0.0000
 8  1   0.0000   0.0000
 8  2   0.0000   0.0000
 8  3   0.0000   0.0000
 8  4   0.0000   0.0000
 8  5   0.0000   0.0000
 8  6   0.0000   0.0000
 8  7   0.0000   0.0000
 8  8   0.0000   0.0000
 8  9   0.0000   0.0000
 8 10   0.0000   0.0000
 8 11   0.0000   0.0000
 8 12   0.0000   0.0000
 8 13   0.0000   0.0000
 8 14   0.0000   0.0000
 8 15   0.0000   0.0000
 8 16   0.0000   0.0000
 8 17   0.0000   0.0000
 8 18   0.0000   0.0000
 8 19   0.0000   0.0000
 8 20   0.0000   0.0000
 8 21   0.0000   0.0000
 8 22   0.0000   0.0000
 8 23   0.0000   0.0000
 8 24   0.0000   0.0000
 8 25   0.0000   0.0000
 8 26   0.0000   0.0000
 8 27   0.0000   0.0000
 8 28   0.0000   0.0000
 8 29   0.0000   0.0000
 8 30   0.0000   0.0000
 8 31   0.0000   0.0000
 8 32   0.0000   0.0000
 8 33   0.0000   0.0000
 8 34   0.0000   0.0000
 8 35   0.0000   0.0000
 8 36   0.0000   0.0000
 8 37   0.0000   0.0000
 8 38   0.0000   0.0000
 8 39   0.0000   0.0000
 8 40   0.0000   0.0000
 8 41   0.0000   0.0000
 8 42   0.0000   0.0000
 8 43   0.0000   0.0000
 8 44   0.0000   0.0000
 8 45   0.0000   0.0000
 8 46   0.0000   0.0000
 8 47   0.0000   0.0000
 8 48   0.0000   0.0000
 9  1   0.1348   0.0000
 9  2   0.0000   0.0036
 9  3   0.0000   0.0000
 9  4   0.0062   0.0000
 9  5   0.0000   0.0037
 9  6   0.0000   0.0000
 9  7   0.0074   0.0000
 9  8   0.0060   0.0000
 9  9   0.0236   0.0217
 9 10   0.0316   0.1654
 9 11   0.0257   0.0000
 9 12   0.0662   0.1266
 9 13   0.1265   0.2175
 9 14   0.1309   0.3355
 9 15   0.2312   0.3639
 9 16   0.1532   0.1522
 9 17   0.3645   0.4409
 9 18   0.0956   0.2519
 9 19   0.0596   0.1987
 9 20   0.0000   0.0000
 9 21   0.0000   0.0038
 9 22   0.0000   0.5359
 9 23  -0.6727  -0.6727
 9 24  -0.7420  -0.7420
 9 25   0.0587   0.0000
 9 26   0.0000   0.0000
 9 27   0.0284   0.0209
 9 28   0.0615   0.0000
 9 29   0.1750   0.1937
 9 30   0.0356   0.0533
 9 31   0.0520   0.1716
 9 32   0.0946   0.2562
 9 33   0.0495   0.1655
 9 34   0.0648   0.2177
 9 35   0.2493   0.0954
 9 36   0.2465   0.0820
 9 37   0.1723   0.2060
 9 38   0.2882   0.3403
 9 39   0.6841   0.4007
 9 40   0.0211   0.0852
 9 41   0.2182   0.0445
 9 42   0.0632   0.2059
 9 43   0.3622   0.2288
 9 44   0.1556   0.0040
 9 45   0.2112   0.0637
 9 46   0.1066   0.0248
 9 47   0.0410   0.0035
 9 48   0.2098   0.0234
10  1   0.1423   0.0000
10  2   0.0955   0.0087
10  3   0.0143   0.0000
10  4   0.0000   0.0997
10  5   0.0000   0.0000
10  6   0.0142   0.0075
10  7   0.0000   0.0000
10  8   0.0000   0.0000
10  9   0.0073   0.0000
10 10   0.0000   0.0167
10 11   0.0201   0.0458
10 12   0.0278   0.0530
10 13   0.1165   0.0590
10 14   0.0778   0.0852
10 15   0.1880   0.1504
10 16   0.4304   0.1022
10 17   0.0767   0.0837
10 18   0.1231   0.0486
10 19   0.2498   0.0621
10 20   0.0219   0.0000
10 21   0.1397   0.1120
10 22   0.2343   0.2999
10 23  -0.6727  -0.6727
10 24  -0.7420  -0.7420
10 25   0.0000   0.0000
10 26   0.0000   0.0000
10 27   0.0950   0.0000
10 28   0.0063   0.0957
10 29   0.1933   0.0043
10 30   0.0186   0.0368
10 31   0.0589   0.2511
10 32   0.1641   0.0169
10 33   0.1506   0.1928
10 34   0.1514   0.2647
10 35   0.2472   0.2024
10 36   0.4995   0.3180
10 37   0.2031   0.0427
10 38   0.2018   0.2565
10 39   0.1585   0.0570
10 40   0.0831   0.0824
10 41   0.2094   0.0412
10 42   0.0720   0.1398
10 43   0.0545   0.1547
10 44   0.2734   0.0208
10 45   0.0615   0.0742
10 46   0.0338   0.0073
10 47   0.0531   0.0239
10 48   0.0633   0.0998
11  1   0.1156   0.0291
11  2   0.0000   0.0000
11  3   0.0000   0.0176
11  4   0.0000   0.0000
11  5   0.0000   0.0000
11  6   0.0076   0.0000
11  7   0.0256   0.0000
11  8   0.0000   0.0000
11  9   0.0233   0.0092
11 10   0.0217   0.0551
11 11   0.0382   0.0621
11 12   0.1094   0.1028
11 13   0.1779   0.1754
11 14   0.1935   0.2646
11 15   0.1555   0.1984
11 16   0.1830   0.1587
11 17   0.3777   0.0788
11 18   0.1845   0.1133
11 19   0.2766   0.1637
11 20   0.0000   0.0000
11 21   0.1566   0.0477
11 22   0.1926   0.2865
11 23  -0.6727  -0.6727
11 24  -0.7420  -0.7420
11 25   0.0000   0.0000
11 26   0.0086   0.0000
11 27   0.0089   0.0444
11 28   0.0074   0.0901
11 29   0.0077   0.2244
11 30   0.0334   0.0566
11 31   0.1159   0.1508
11 32   0.3192   0.0172
11 33   0.3400   0.1096
11 34   0.0594   0.0572
11 35   0.2152   0.1753
11 36   0.4139   0.1486
11 37   0.0622   0.2096
11 38   0.1184   0.3577
11 39   0.1756   0.2293
11 40   0.1741   0.2715
11 41   0.2493   0.1265
11 42   0.0413   0.0556
11 43   0.0573   0.1026
11 44   0.1465   0.2739
11 45   0.1370   0.0486
11 46   0.0924   0.1338
11 47   0.0100   0.1722
11 48   0.0991   0.1114
12  1   0.1147   0.0486
12  2   0.0133   0.0222
12  3   0.0000   0.0181
12  4   0.0467   0.0000
12  5   0.0000   0.0000
12  6   0.0000   0.0229
12  7   0.0126   0.0125
12  8   0.0113   0.0200
12  9   0.0098   0.0595
12 10   0.0371   0.0405
12 11   0.0234   0.0170
12 12   0.0396   0.1124
12 13   0.0708   0.1338
12 14   0.1063   0.2652
12 15   0.1445   0.3224
12 16   0.1009   0.3086
12 17   0.1134   0.7132
12 18   0.0976   0.3413
12 19   0.1520   0.0666
12 20   0.0077   0.0000
12 21   0.0760   0.1827
12 22   0.3431   0.3963
12 23  -0.6727  -0.6727
12 24  -0.7420  -0.7420
12 25   0.0000   0.0224
12 26   0.0000   0.0243
12 27   0.0079   0.0000
12 28   0.2053   0.1339
12 29   0.0964   0.1799
12 30   0.0564   0.0529
12 31   0.0421   0.1857
12 32   0.1415   0.1309
12 33   0.0554   0.2629
12 34   0.1429   0.3209
12 35   0.3752   0.2410
12 36   0.3254   0.3476
12 37   0.1520   0.2272
12 38   0.3502   0.4119
12 39   0.3091   0.4684
12 40   0.0540   0.1724
12 41   0.0534   0.4054
12 42   0.0986   0.1601
12 43   0.1149   0.1030
12 44   0.0789   0.2278
12 45   0.0158   0.5390
12 46   0.0717   0.2398
12 47   0.0998   0.1389
12 48   0.0981   0.0766
13  1   0.0111   0.0291
13  2   0.1744   0.0000
13  3   0.0000   0.0176
13  4   0.0000   0.0000
13  5   0.0000   0.0000
13  6   0.0000   0.0000
13  7   0.0000   0.0000
13  8   0.0000   0.0000
13  9   0.0197   0.0092
13 10   0.0143   0.0551
13 11   0.0397   0.0621
13 12   0.0997   0.1028
13 13   0.1720   0.1754
13 14   0.2649   0.2646
13 15   0.2325   0.1984
13 16   0.3315   0.1587
13 17   0.1520   0.0788
13 18   0.0945   0.1133
13 19   0.3953   0.1637
13 20   0.0000   0.0000
13 21   0.0000   0.0477
13 22   0.4460   0.2865
13 23  -0.6727  -0.6727
13 24  -0.7420  -0.7420
13 25   0.0000   0.0000
13 26   0.0087   0.0000
13 27   0.0000   0.0444
13 28   0.1747   0.0901
13 29   0.0396   0.2244
13 30   0.0670   0.0566
13 31   0.2154   0.1508
13 32   0.1608   0.0172
13 33   0.2038   0.1096
13 34   0.0945   0.0572
13 35   0.2235   0.1753
13 36   0.0809   0.1486
13 37   0.2576   0.2096
13 38   0.1216   0.3577
13 39   0.1474   0.2293
13 40   0.2039   0.2715
13 41   0.0769   0.1265
13 42   0.0076   0.0556
13 43   0.0657   0.1026
13 44   0.0612   0.2739
13 45   0.0459   0.0486
13 46   0.2208   0.1338
13 47   0.1865   0.1722
13 48   0.0438   0.1114
14  1   0.0124   0.0486
14  2   0.0000   0.0222
14  3   0.0000   0.0181
14  4   0.0000   0.0000
14  5   0.0000   0.0000
14  6   0.0000   0.0229
14  7   0.0114   0.0125
14  8   0.0108   0.0200
14  9   0.0138   0.0595
14 10   0.0265   0.0405
14 11   0.0482   0.0170
14 12   0.0522   0.1124
14 13   0.3442   0.1338
14 14   0.1047   0.2652
14 15   0.1311   0.3224
14 16   0.1850   0.3086
14 17   0.1276   0.7132
14 18   0.1910   0.3413
14 19   0.1149   0.0666
14 20   0.0186   0.0000
14 21   0.1183   0.1827
14 22   0.3473   0.3963
14 23  -0.6727  -0.6727
14 24  -0.7420  -0.7420
14 25   0.0000   0.0224
14 26   0.0000   0.0243
14 27   0.0225   0.0000
14 28   0.0000   0.1339
14 29   0.0899   0.1799
14 30   0.0231   0.0529
14 31   0.3220   0.1857
14 32   0.0381   0.1309
14 33   0.1152   0.2629
14 34   0.0667   0.3209
14 35   0.1082   0.2410
14 36   0.2069   0.3476
14 37   0.3692   0.2272
14 38   0.0423   0.4119
14 39   0.0248   0.4684
14 40   0.1843   0.1724
14 41   0.1892   0.4054
14 42   0.1482   0.1601
14 43   0.1268   0.1030
14 44   0.0000   0.2278
14 45   0.0231   0.5390
14 46   0.1402   0.2398
14 47   0.0996   0.1389
14 48   0.0000   0.0766
EVs  Frommin  Tomin #Evsmin Frommax  Tomax #Evsmax
  1       4       3      13       4       3      13
  2      14       9       7      14       9       7
  3       6      13      13       6      13      13
  4      11      10       7      11      10       7
  5       9      10      13       9      10      13
  6       4       5      13       4       5      13
  7      10       9      13      10       9      13
  8       3       4       7       3       4       7
  9       5       2       7       5       2       7
 10       3       4      13       3       4      13
 11       6      11       7       6      11       7
 12      13      14       7      13      14       7
 13       4       2       7       4       2       7
 14      11      10       7      11      10       7
 15      12       6       7      12       6       7
 16       4       5      13       4       5      13
 17      10       9      13      10       9      13
 18       6      11       7       6      11       7
 19       3       2       7       3       2       7
 20       9      14       7       9      14       7
 21       3       4      13       3       4      13
 22      11       6       7      11       6       7
 23      13       6      13      13       6      13
 24       9      10      13       9      10      13
 25      12      13       7      12      13       7
 26       4       5      13       4       5      13
 27      10      11       7      10      11       7
 28       4       5      13       4       5      13
 29       2       3      13       2       3      13
 30      10       9      13      10       9      13
 31       3       4       7       3       4       7
 32       4       3      13       4       3      13
 33       6      11       7       6      11       7
 34       3       4      13       3       4      13
 35      11       6       7      11       6       7
 36       5       2      13       5       2      13
 37       2       3       7       2       3       7
 38       4       2      13       4       2      13
 39       4       3       7       4       3       7
 40       9      10      13       9      10      13
 41      12      13       7      12      13       7
 42      11      10       7      11      10       7
 43       2       3       7       2       3       7
 44       5       4      13       5       4      13
 45       4       3      13       4       3      13
 46      13      12      13      13      12      13
 47       9      10      13       9      10      13
 48      13      12       7      13      12       7
 49       2       5      13       2       5      13
 50      10       9      13      10       9      13
 51       2       4      13       2       4      13
 52       2       4       7       2       4       7
 53      10       9      13      10       9      13
 54       3       4       7       3       4       7
 55      11       6      13      11       6      13
 56       4       3       7       4       3       7
 57      12      13       7      12      13       7
 58      12       6       7      12       6       7
 59       4       2      13       4       2      13
 60       5       2       7       5       2       7
 61      11       6       7      11       6       7
 62       9      14       7       9      14       7
 63       4       5      13       4       5      13
 64      10       9      13      10       9      13
 65       2       4       7       2       4       7
 66       5       2      13       5       2      13
 67       9      10      13       9      10      13
 68      11       6      13      11       6      13
 69       5       4      13       5       4      13
 70      10      11       7      10      11       7
 71      11      10      13      11      10      13
 72       9      10      13       9      10      13
 73       6      12       7       6      12       7
 74       4       2       7       4       2       7
 75      14       9       7      14       9       7
 76       3       4      13       3       4      13
 77      12       6       7      12       6       7
 78       6      12       7       6      12       7
 79       4       2       7       4       2       7
 80       3       4      13       3       4      13
 81       6      11       7       6      11       7
 82       2       5      13       2       5      13
 83       6      13      13       6      13      13
 84      10       9      13      10       9      13
 85       9      10      13       9      10      13
 86       6      12       7       6      12       7
 87       6      13      13       6      13      13
 88       4       5      13       4       5      13
 89      14       9       7      14       9       7
 90      13      14       7      13      14       7
 91       2       3       7       2       3       7
 92       9      10      13       9      10      13
 93       4       3      13       4       3      13
 94      10      11       7      10      11       7
 95       2       4       7       2       4       7
 96       2       5      13       2       5      13
 97      12       6       7      12       6       7
 98       6      11       7       6      11       7
 99       5       4      13       5       4      13
100      13      12       7      13      12       7
101       9      10      13       9      10      13
102       2       5       7       2       5       7
103      11       6       7      11       6       7
104       9      14       7       9      14       7
105       2       3       7       2       3       7
106       5       4      13       5       4      13
107      13      12       7      13      12       7
108       3       4      13       3       4      13
109      10      11      13      10      11      13
110       9      14       7       9      14       7
111      11       6       7      11       6       7
112       2       4      13       2       4      13
113       6      11       7       6      11       7
114       4       2       7       4       2       7
115       6      13      13       6      13      13
116      13      14       7      13      14       7
117      11       6       7      11       6       7
118      10       9      13      10       9      13
119      11       6      13      11       6      13
120      14       9       7      14       9       7
121      13      12       7      13      12       7
122      13       6      13      13       6      13
123      11      10       7      11      10       7
124       4       2      13       4       2      13
125       4       5      13       4       5      13
126       6      12       7       6      12       7
127      13      12       7      13      12       7
128       6      11       7       6      11       7
129       5       2      13       5       2      13
130       9      10      13       9      10      13
131      13       6      13      13       6      13
132      14      13       7      14      13       7
133      11      10       7      11      10       7
134       6      11       7       6      11       7
135      10      11       7      10      11       7
136      13       6      13      13       6      13
137       3       4       7       3       4       7
138       6      13      13       6      13      13
139      14       9       7      14       9       7
140      14       9       7      14       9       7
141      14       9       7      14       9       7
142       5       2      13       5       2      13
143       3       2      13       3       2      13
144      13       6      13      13       6      13
145       6      13      13       6      13      13
146       6      12       7       6      12       7
147       6      12       7       6      12       7
148      12       6       7      12       6       7
149       4       5      13       4       5      13
150      10       9      13      10       9      13
151       2       3       7       2       3       7
152       2       5      13       2       5      13
153       2       4       7       2       4       7
154       9      10      13       9      10      13
155       6      12       7       6      12       7
156      11      10      13      11      10      13
157       5       4      13       5       4      13
158       9      10      13       9      10      13
159       2       3       7       2       3       7
160       4       3      13       4       3      13
161       6      11      13       6      11      13
162       3       4      13       3       4      13
163       9      10      13       9      10      13
164       2       5      13       2       5      13
165       5       4      13       5       4      13
166      13      12       7      13      12       7
167       4       2       7       4       2       7
168      11      10       7      11      10       7
169       2       5      13       2       5      13
170      14      13       7      14      13       7
171       4       5      13       4       5      13
172       4       3       7       4       3       7
173      13       6      13      13       6      13
174       9      10      13       9      10      13
175       5       4      13       5       4      13
176      14      13       7      14      13       7
177       4       3       7       4       3       7
178      11       6       7      11       6       7
179      13      12      13      13      12      13
180       2       4       7       2       4       7
181       3       4       7       3       4       7
182      14       9       7      14       9       7
183      13       6      13      13       6      13
184       3       4      13       3       4      13
185       3       4      13       3       4      13
186      10       9      13      10       9      13
187       6      12       7       6      12       7
188      10      11      13      10      11      13
189       9      10      13       9      10      13
190      12       6       7      12       6       7
191       4       3      13       4       3      13
192      11      10       7      11      10       7
193      14       9       7      14       9       7
194      10       9      13      10       9      13
195       5       2       7       5       2       7
196       3       2       7       3       2       7
197      12      13       7      12      13       7
198      10       9      13      10       9      13
199       4       3      13       4       3      13
200       5       2      13       5       2      13
